Name,Image,Party,Ward,Date,Expected,Present,Present Percent,Apologies,Apologies Percent,Absent,Absent Percent
Councillor Gill Al-Samarai,https://committees.aberdeencity.gov.uk/UserData/0/5/5/Info00000550/bigpic.jpg,Party: Scottish National Party,Ward: Dyce/ Bucksburn/ Danestone,24/09/2023 - 18/03/2024,16,15,94%,1,100%,1,6%
Councillor Nurul Hoque Ali,https://committees.aberdeencity.gov.uk/UserData/5/3/6/Info00005635/bigpic.jpg,Party: Scottish Labour,Ward: Bridge of Don,24/09/2023 - 18/03/2024,10,9,90%,1,100%,1,10%
Councillor Christian Allard,https://committees.aberdeencity.gov.uk/UserData/7/3/8/Info00004837/bigpic.jpg,Party: Scottish National Party,Ward: Torry/ Ferryhill,24/09/2023 - 18/03/2024,16,15,94%,1,100%,1,6%
Councillor Alison Alphonse,https://committees.aberdeencity.gov.uk/UserData/8/3/8/Info00004838/bigpic.jpg,Party: Scottish National Party,Ward: Bridge of Don,24/09/2023 - 18/03/2024,13,10,77%,3,100%,3,23%
Councillor Kate Blake,https://committees.aberdeencity.gov.uk/UserData/4/3/6/Info00005634/bigpic.jpg,Party: Scottish Labour,Ward: Kingswells / Sheddocksley / Summerhill,24/09/2023 - 18/03/2024,13,11,85%,2,100%,2,15%
Councillor Jennifer Bonsell,https://committees.aberdeencity.gov.uk/UserData/9/3/6/Info00005639/bigpic.jpg,Party: Scottish Labour,Ward: Midstocket/ Rosemount,24/09/2023 - 18/03/2024,12,12,100%,0,0%,0,0%
Councillor Marie Boulton,https://committees.aberdeencity.gov.uk/UserData/9/1/1/Info00000119/bigpic.jpg,Party: Independent,Ward: Lower Deeside,24/09/2023 - 18/03/2024,17,15,88%,2,100%,2,12%
Councillor Desmond Bouse,https://committees.aberdeencity.gov.uk/UserData/2/4/6/Info00005642/bigpic.jpg,Party: Scottish Liberal Democrats,Ward: George Street/ Harbour,24/09/2023 - 18/03/2024,19,15,79%,4,100%,4,21%
Councillor Richard Brooks,https://committees.aberdeencity.gov.uk/UserData/9/4/6/Info00005649/bigpic.jpg,Party: Scottish Conservative and Unionist,Ward: Kincorth / Nigg / Cove,24/09/2023 - 18/03/2024,11,11,100%,0,0%,0,0%
"Councillor David Cameron, the Lord Provost",https://committees.aberdeencity.gov.uk/UserData/1/5/5/Info00000551/bigpic.jpg,Party: Scottish National Party,Ward: Kingswells / Sheddocksley / Summerhill,24/09/2023 - 18/03/2024,7,7,100%,0,0%,0,0%
Councillor Hazel Cameron,https://committees.aberdeencity.gov.uk/UserData/8/3/6/Info00005638/bigpic.png,Party: Scottish National Party,Ward: Hilton / Woodside / Stockethill,24/09/2023 - 18/03/2024,8,8,100%,0,0%,0,0%
Councillor Donna Clark,https://committees.aberdeencity.gov.uk/UserData/6/3/6/Info00005636/bigpic.jpg,Party: Scottish National Party,Ward: Northfield / Mastrick North,24/09/2023 - 18/03/2024,18,17,94%,1,100%,1,6%
Councillor John Cooke,https://committees.aberdeencity.gov.uk/UserData/0/4/8/Info00004840/bigpic.jpg,Party: Scottish National Party,Ward: Hazlehead/Queen's Cross/Countesswells,24/09/2023 - 18/03/2024,16,16,100%,0,0%,0,0%
Councillor Neil Copland,https://committees.aberdeencity.gov.uk/UserData/9/5/0/Info00002059/bigpic.jpg,Party: Scottish National Party,Ward: Hilton / Woodside / Stockethill,24/09/2023 - 18/03/2024,24,22,92%,2,100%,2,8%
Councillor Bill Cormie,https://committees.aberdeencity.gov.uk/UserData/9/2/1/Info00000129/bigpic.jpg,Party: Scottish National Party,Ward: Midstocket/ Rosemount,24/09/2023 - 18/03/2024,5,5,100%,0,0%,0,0%
